sn,question,answer,category
1,"According to Acts 1:1, to whom did the writer (Luke) address this book, and what was his former book about?",to Theophilus; the former book was about all that Jesus began to do and to teach,general
2,"According to Acts 1:3, over what period did Jesus appear after his suffering, and what one subject did he speak about during that time?",forty days; he spoke about the kingdom of God,general
3,"According to Acts 1:9-11, immediately after Jesus was taken up and a cloud hid him, who suddenly stood beside the apostles and how are they described?",two men dressed in white,general
4,"According to Acts 1:12, from which mount did the apostles return to Jerusalem, and how far was it (a Sabbath day's walk)?",the Mount of Olives; a Sabbath day's walk from the city,general
5,"According to Acts 1:20, the field Judas bought was called Akeldama, which means what (Acts 1:19)?",Field of Blood,general
6,"According to Acts 1:21-22, state BOTH conditions the replacement apostle had to meet (the time span and the specific thing he must witness to).","he must have been among them the whole time the Lord Jesus went in and out among them, beginning from John’s baptism to the day Jesus was taken up; and he must become a witness of the resurrection",general
7,"According to Acts 1:23, give the full identification of the man Joseph who was put forward alongside Matthias (both extra names).","Joseph called Barsabbas, also known as Justus",general
8,"According to Acts 1:15 and 1:26, roughly how many believers were gathered when Matthias was chosen, and how was he selected?",a group numbering about a hundred and twenty; he was chosen by casting lots,general
9,"According to Acts 2:5-11, name any FOUR of the specific peoples/regions in the list of those who heard their own language at Pentecost.","any four of: Parthians, Medes, Elamites, residents of Mesopotamia, Judea, Cappadocia, Pontus, Asia, Phrygia, Pamphylia, Egypt, parts of Libya near Cyrene, Rome (Jews and converts), Cretans, Arabs",general
10,"According to Acts 2:4, what were they all filled with, and what did they begin to do?",filled with the Holy Spirit; they began to speak in other tongues as the Spirit enabled them,general
11,"According to Acts 2:17-18, in Peter’s quotation of Joel, name THREE distinct groups on whom God will pour out his Spirit (with what each will do).","sons and daughters will prophesy; young men will see visions; old men will dream dreams; and on his servants, both men and women, he will pour out his Spirit and they will prophesy",general
12,"According to Acts 2:41, state precisely how many were added that day AND the two things (2:42) that immediately characterised them as a first response.",about three thousand were added; they devoted themselves to the apostles’ teaching and to fellowship (also breaking of bread and prayer),general
13,"According to Acts 3:1-2, give the exact hour Peter and John went to the temple AND the name of the gate where the lame man was laid.",three in the afternoon (the ninth hour); the gate called Beautiful,general
14,"According to Acts 3:2, where was the man who was lame from birth laid daily, and why?",at the temple gate called Beautiful; to beg from those going into the temple courts,general
15,"According to Acts 3:11 and 3:1, name the colonnade where the crowd gathered, and the apostle besides Peter who was present.",Solomon’s Colonnade; John,general
16,"According to Acts 4:4, after the message many believed and the number of MEN grew to about how many (be exact)?",about five thousand,general
17,"According to Acts 4:5-6, name ALL FOUR members of the high priest’s family who are specifically named as present.","Annas, Caiaphas, John, and Alexander",general
18,"According to Acts 4:13-14, give the TWO reasons the rulers could say nothing: what they realised about the apostles, and what (or who) was standing there.",they realised these men had been with Jesus; and the man who had been healed was standing there with them,general
19,"According to Acts 4:33-34, what did the apostles testify to with great power, and why were there no needy persons among them?",they testified to the resurrection of the Lord Jesus; there were no needy persons because those who owned lands or houses sold them and brought the proceeds,general
20,"According to Acts 4:36-37, give Barnabas’s original name, the meaning of the name the apostles gave him, his tribe/role, and his place of origin.",Joseph; “son of encouragement”; a Levite; from Cyprus,general
21,"According to Acts 5:1-2, what were the names of the couple who sold property but kept back part of the money?",Ananias and Sapphira,general
22,"According to Acts 5:5 and 5:10, what happened to Ananias, and what detail (5:6) is given about the young men afterward?","he fell down and died; the young men came forward, wrapped up his body, carried him out and buried him",general
23,"According to Acts 5:7-9, exactly how long after her husband did Sapphira arrive, and what did Peter say her feet were at the door to do?","about three hours later; the feet of those who buried her husband were at the door, and they would carry her out",general
24,"According to Acts 5:15-16, what two things did people hope Peter’s passing shadow might do, and from where did crowds also gather?","that his shadow might fall on some of the sick (and heal them); crowds gathered from the towns around Jerusalem, bringing the sick and those tormented by impure spirits",general
25,"According to Acts 5:34, give the full description of the man who advised caution in the Sanhedrin: his name, his party, and his standing among the people.",Gamaliel; a Pharisee and teacher of the law; honoured by all the people,general
26,"According to Acts 6:1, the Grecian Jews complained against the Hebraic Jews because whose widows were being overlooked in the daily distribution of food?",the Grecian Jews' widows,general
27,"According to Acts 6:3, state the exact number of men to be chosen AND all the qualities they had to be known for.",seven men; known to be full of the Spirit and wisdom,general
28,"According to Acts 6:5, name ALL SEVEN men chosen (full marks only for all seven).","Stephen, Philip, Procorus, Nicanor, Timon, Parmenas, and Nicolas (a convert to Judaism from Antioch)",general
29,"According to Acts 6:9, give the full name of the synagogue whose members opposed Stephen, and name two of the regions its members came from.","the Synagogue of the Freedmen; members from Cyrene, Alexandria, Cilicia, and Asia (any two)",general
30,"According to Acts 6:11, what did they falsely persuade men to say Stephen had spoken against?",words of blasphemy against Moses and against God,general
31,"According to Acts 6:13-15, what TWO charges did the false witnesses bring against Stephen, and what did his face look like?","that he never stopped speaking against the holy place (temple) and against the law, claiming Jesus of Nazareth would destroy the place and change the customs Moses handed down; his face was like the face of an angel",general
32,"According to Acts 7:2, Stephen began his defense by saying the God of glory appeared to Abraham while he was still in which land, before he lived in Harran?",Mesopotamia,general
33,"According to Acts 7:14-16, how many in all did Jacob bring to Egypt, and where were they later buried (the place and from whom the tomb was bought)?",seventy-five in all; buried at Shechem in the tomb Abraham had bought from the sons of Hamor,general
34,"According to Acts 7:23, 7:30 and 7:36, give the three forty-year spans of Moses’ life as Stephen frames them (what marks the start of each).","at forty he visited his own people (Israel); after forty years an angel appeared to him in the burning bush near Mount Sinai; he led them out, performing wonders, over forty years in the wilderness",general
35,"According to Acts 7:58-60, at whose feet were the witnesses’ coats laid, and what were Stephen’s two recorded sayings as he died?","Saul; “Lord Jesus, receive my spirit” and “Lord, do not hold this sin against them”",general
36,"According to Acts 8:1, on that day a great persecution broke out, and all except whom were scattered throughout Judea and Samaria?",all except the apostles,general
37,"According to Acts 8:3, what did Saul do to the church?","he began to destroy it; going house to house, he dragged off men and women and put them in prison",general
38,"According to Acts 8:5-7, who proclaimed the Messiah in Samaria, and what two specific things happened (the spirits and the disabled)?","Philip; impure spirits came out of many with shrieks, and many paralysed and lame people were healed",general
39,"According to Acts 8:27, give the full description of the Ethiopian: his official role, whose treasury he managed, and the title of that queen.","an important official in charge of the treasury of the Kandake (Candace), queen of the Ethiopians",general
40,"According to Acts 8:28-30, which prophet was the Ethiopian eunuch reading when Philip approached his chariot?",the prophet Isaiah,general
41,"According to Acts 8:32-35, which two-verse passage of Isaiah was the eunuch reading (the imagery), and what did Philip then tell him?",the passage about a sheep led to the slaughter and a lamb silent before its shearer (Isaiah 53:7-8); Philip told him the good news about Jesus,general
42,"According to Acts 8:39-40, what happened to Philip after the baptism, where did he next appear, and at which city did he finally arrive?",the Spirit of the Lord suddenly took Philip away; he appeared at Azotus and preached in all the towns until he reached Caesarea,general
43,"According to Acts 9:2, Saul asked the high priest for letters to the synagogues in which city, so he could take believers as prisoners?",Damascus,general
44,"According to Acts 9:10-12, name the disciple sent to Saul, the street where Saul was staying, and whose house he was in.",Ananias; Straight Street; the house of Judas,general
45,"According to Acts 9:15-16, name the THREE groups Saul would carry Jesus’ name to, and the one thing the Lord said Saul must do.","the Gentiles, their kings, and the people of Israel; he must suffer for the sake of Jesus’ name",general
46,"According to Acts 9:18-19, what fell from Saul’s eyes, what two things did he immediately do, and how long had he gone without food (9:9)?","something like scales fell from his eyes; he regained his sight and was baptised, then took food and regained strength; he had been three days without sight, food or drink",general
47,"According to Acts 9:36, who was the disciple in Joppa, also called Dorcas, always doing good and helping the poor?",Tabitha,general
48,"According to Acts 9:36-43, give the name (and its Greek meaning) of the woman Peter raised in Joppa, and the trade of the man Peter then stayed with.","Tabitha, meaning Dorcas (gazelle); Peter stayed with Simon the tanner",general
49,"According to Acts 10:1-2, give the centurion’s name, his regiment, and two things said about his character.","Cornelius; the Italian Regiment; he was devout and God-fearing, gave generously to the poor, and prayed to God regularly (any two)",general
50,"According to Acts 10:9-14, at what hour did Peter go up to pray, what came down from heaven, and what was his exact reply when told to kill and eat?","about noon (the sixth hour); a large sheet let down by its four corners containing all kinds of animals; “Surely not, Lord! I have never eaten anything impure or unclean”",general
51,"According to Acts 10:44-48, what happened while Peter was still speaking, what astonished the circumcised believers, and in whose name did Peter order them baptised?","the Holy Spirit came on all who heard the message; the believers were astonished that the gift had been poured out even on Gentiles, who were speaking in tongues and praising God; he ordered them baptised in the name of Jesus Christ",general
52,"According to Acts 11:18, after Peter explained, what did the circumcised believers conclude God had granted even to the Gentiles?",repentance that leads to life,general
53,"According to Acts 11:19-21, the believers scattered by Stephen’s persecution reached Phoenicia, Cyprus and Antioch; who did men from Cyprus and Cyrene begin speaking to in Antioch, and with what result?","they began to speak to Greeks also (not Jews only), telling them the good news about the Lord Jesus; a great number believed and turned to the Lord",general
54,"According to Acts 11:27-30, name the prophet who foretold the famine, the emperor in whose reign it happened, and what the disciples in Antioch decided to do.",Agabus; the famine happened during the reign of Claudius; the disciples decided to provide help for the brothers and sisters living in Judea,general
55,"According to Acts 12:1-4, which apostle did Herod kill with the sword, whom did he then seize, during which festival, and how many soldiers guarded the prisoner?",he killed James the brother of John; he seized Peter during the Festival of Unleavened Bread (Passover); Peter was handed to four squads of four soldiers each,general
56,"According to Acts 12:6-10, on the night before his trial, Peter was bound with two chains sleeping between two soldiers; name three things the angel did or that happened to free him.",a light shone and the angel struck Peter’s side to wake him; the chains fell off his wrists; he told Peter to dress and follow; they passed the guards; the iron gate to the city opened by itself (any three),general
57,"According to Acts 12:21-23, on what occasion did Herod address the crowd, what did the people shout, and what two things does verse 23 say happened to him?","he was seated on his throne in royal robes on a set day, delivering a public address; the people shouted that it was the voice of a god, not of a man; an angel of the Lord struck him down because he did not give praise to God, and he was eaten by worms and died",general
58,"According to Acts 13:1-3, name any TWO of the prophets and teachers at Antioch BESIDES Barnabas and Saul, and state what the church was doing when the Spirit spoke.","any two of: Simeon called Niger, Lucius of Cyrene, Manaen (brought up with Herod the tetrarch); they were worshiping the Lord and fasting",general
59,"According to Acts 13:6-8, at which place did they meet the sorcerer, give both his names, and name the proconsul whose attention he opposed.","at Paphos (on Cyprus); Bar-Jesus, also called Elymas; the proconsul Sergius Paulus",general
60,"According to Acts 13:9-11, by what name is Saul now called, what did he call Elymas, and what exactly happened to the sorcerer?","Saul, also called Paul; he called him a child of the devil and an enemy of everything right, full of deceit and trickery; mist and darkness came over him and he was blind for a time, unable to see the sun, groping for someone to lead him",general
61,"According to Acts 13:46-48, when the Jews rejected the message, to whom did Paul and Barnabas turn, and what prophet/passage did Paul cite as the reason (the ‘light’ quotation)?","they turned to the Gentiles; Paul cited the Lord’s command quoting Isaiah: “I have made you a light for the Gentiles, that you may bring salvation to the ends of the earth”",general
62,"According to Acts 14:8-12, in which city did Paul heal the man lame from birth, what did the crowd then call Barnabas and Paul, and in what language did they shout?",Lystra; they called Barnabas Zeus and Paul Hermes; they shouted in the Lycaonian language,general
63,"According to Acts 14:19-20, from which two cities had Jews come to turn the crowd against Paul at Lystra, and what happened immediately after he was stoned and dragged out?","from Antioch and Iconium; after the disciples gathered around him he got up and went back into the city, and the next day he and Barnabas left for Derbe",general
64,"According to Acts 2:42, the believers devoted themselves to four things. Name all four.","the apostles' teaching, to fellowship, to the breaking of bread, and to prayer",general
65,"According to Acts 5:38-39, what was Gamaliel's reasoning for leaving the apostles alone (give both sides of his argument)?","if their purpose is of human origin it will fail; but if it is from God, you will not be able to stop them and may even find yourselves fighting against God",general
66,"According to Acts 10:38, how did God anoint Jesus of Nazareth, and what did Jesus then go around doing?","with the Holy Spirit and power; he went around doing good and healing all who were under the power of the devil, because God was with him",general
67,Recite Acts 1:8,"But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth.",recitation
68,Recite Acts 1:11,"Men of Galilee, they said, why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven.",recitation
69,Recite Acts 2:21,And everyone who calls on the name of the Lord will be saved.,recitation
70,Recite Acts 2:38,"Peter replied, Repent and be baptized, every one of you, in the name of Jesus Christ for the forgiveness of your sins. And you will receive the gift of the Holy Spirit.",recitation
71,Recite Acts 2:42,"They devoted themselves to the apostles' teaching and to fellowship, to the breaking of bread and to prayer.",recitation
72,Recite Acts 3:6,"Then Peter said, Silver or gold I do not have, but what I do have I give you. In the name of Jesus Christ of Nazareth, walk.",recitation
73,Recite Acts 3:19,"Repent, then, and turn to God, so that your sins may be wiped out, that times of refreshing may come from the Lord.",recitation
74,Recite Acts 4:12,"Salvation is found in no one else, for there is no other name under heaven given to mankind by which we must be saved.",recitation
75,Recite Acts 4:13,"When they saw the courage of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.",recitation
76,Recite Acts 4:31,"After they prayed, the place where they were meeting was shaken. And they were all filled with the Holy Spirit and spoke the word of God boldly.",recitation
77,Recite Acts 5:29,Peter and the other apostles replied: We must obey God rather than human beings!,recitation
78,Recite Acts 5:38-39,"For if their purpose or activity is of human origin, it will fail. But if it is from God, you will not be able to stop these men; you will only find yourselves fighting against God.",recitation
79,Recite Acts 9:4,"He fell to the ground and heard a voice say to him, Saul, Saul, why do you persecute me?",recitation
80,Recite Acts 10:34-35,Then Peter began to speak: I now realize how true it is that God does not show favoritism but accepts from every nation the one who fears him and does what is right.,recitation
81,Recite Acts 10:38,"How God anointed Jesus of Nazareth with the Holy Spirit and power, and how he went around doing good and healing all who were under the power of the devil, because God was with him.",recitation
82,Recite Acts 13:38-39,"Therefore, my friends, I want you to know that through Jesus the forgiveness of sins is proclaimed to you. Through him everyone who believes is set free from every sin, a justification you were not able to obtain under the law of Moses.",recitation
83,Recite Acts 14:22,"Strengthening the disciples and encouraging them to remain true to the faith. We must go through many hardships to enter the kingdom of God, they said.",recitation
84,"Fill in the gaps (Acts 1:11): ""Men of __________,"" they said, ""why do you stand here looking into the sky? This same __________, who has been taken from you into heaven, will come back in the same way you have seen him go into __________.""","Galilee, Jesus, heaven",fill
85,Fill in the gaps (Acts 2:2-3): Suddenly a sound like the blowing of a violent __________ came from heaven and filled the whole house where they were sitting. They saw what seemed to be tongues of __________ that separated and came to rest on each of them.,"wind, fire",fill
86,"Fill in the gaps (Acts 2:23): This man was handed over to you by God's deliberate __________ and __________; and you, with the help of wicked men, put him to death by nailing him to the __________.","plan, foreknowledge, cross",fill
87,"According to Acts 2:25-28, Peter quotes David foreseeing the resurrection; complete the line: “you will not abandon me to the realm of the dead, you will not let your holy one see __________, you have made known to me the paths of __________.”",decay; life,fill
